,,,,,,,,,,,,,,,,,,,
,,SOMEKA INFO LISTS,,,,,,,,,,,,,,,,,
,,INC 5000 - 2020 VERSION,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,DISCLAIMER:,,"This list is officially published by Inc Magazine. Mansueto Ventures LLC has full rights to sell or distribute the list. 
This is a limited version of the original data. You can find the full version here: www.inc.com. Someka is not associated with Inc. 
(There are some discrepancies in the original data on Inc website such as duplicate entries. Someka is not responsible with data accuracy of the list).",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Rank,Company,Employees,Growth,Industry,Revenue ($M),State,City,Metro,Years on the List,Website,,,,,,,,
,1,OneTrust,"1,152",48.337%,Software,74.03,Georgia,Atlanta,Atlanta,1,onetrust.com,,,,,,,,
,2,Create Music Group,125,46.800%,Media,62.18,California,Los Angeles,Los Angeles,1,createmusicgroup.com,,,,,,,,
,3,Lovell Government Services,13,40.899%,Health,111.78,Florida,Pensacola,Pensacola,1,lovellgov.com,,,,,,,,
,4,Avalon Healthcare Solutions,95,26.011%,Health,172.59,Florida,Tampa,Tampa,1,avalonhcs.com,,,,,,,,
,5,ZULIE VENTURE INC,3,25.359%,Telecommunications,49.10,Texas,Stafford,Houston,1,CELLPAY.US,,,,,,,,
,6,Hunt A Killer,59,20.485%,Consumer Products & Services,27.32,Maryland,Baltimore,Baltimore,1,huntakiller.com,,,,,,,,
,7,Case Energy Partners,26,17.922%,Energy,41.34,Texas,Dallas,Dallas,3,caseenergypartners.com,,,,,,,,
,8,Nationwide Mortgage Bankers,500,16.396%,Financial Services,76.57,New York,Melville,New York,2,nmbnow.com,,,,,,,,
,9,Paxon Energy,164,15.072%,Energy,22.11,California,Pleasanton,San Francisco,1,paxonengineering.com,,,,,,,,
,10,Inspire11,58,13.876%,Business Products & Services,22.64,Illinois,Chicago,Chicago,1,www.inspire11.com,,,,,,,,
,11,Nugget,21,13.786%,Manufacturing,16.38,North Carolina,Hillsborough,Durham-Chapel Hill,2,nuggetcomfort.com,,,,,,,,
,12,TRYFACTA,451,12.871%,IT System Development,42.79,California,Pleasanton,San Francisco,2,tryfacta.ai,,,,,,,,
,13,CannaSafe,155,12.144%,Health,19.56,California,Van Nuys,Los Angeles,1,csalabs.com,,,,,,,,
,14,BRUMATE,9,11.951%,Consumer Products & Services,32.87,Colorado,Denver,Denver,1,brumate.com,,,,,,,,
,15,Resource Innovations,45,11.787%,Energy,27.61,California,Half Moon Bay,San Francisco,2,resource-innovations.com,,,,,,,,
,16,NuLeaf Naturals,52,11.495%,Health,31.33,Colorado,Denver,Denver,2,nuleafnaturals.com,,,,,,,,
,17,Dynamic Blending Specialists,63,11.491%,Manufacturing,12.69,Utah,Vineyard,Provo,1,dynamicblending.com,,,,,,,,
,18,Kitu Life Super Coffee,75,11.324%,Food & Beverage,21.55,New York,New York,New York,1,drinksupercoffee.com,,,,,,,,
,19,Anchor Trading,20,11.311%,Financial Services,33.32,New York,New City,New York,1,anchortrading.com,,,,,,,,
,20,TKT,228,11.107%,Human Resources,134.76,Kentucky,Louisville,Louisville,1,tktandassociates.com,,,,,,,,
,21,Napali Capital,6,10.957%,Real Estate,15.89,Texas,Southlake,Dallas,1,napalicapital.com,,,,,,,,
,22,Lattice,120,10.557%,Software,12.15,California,San Francisco,San Francisco,1,lattice.com,,,,,,,,
,23,Guild Education,505,9.969%,Education,48.07,Colorado,Denver,Denver,1,guildeducation.com,,,,,,,,
,24,Americor Funding,466,9.958%,Financial Services,69.65,California,Irvine,Los Angeles,1,americor.com,,,,,,,,
,25,MEDLAB INTERNATIONAL INC,4,9.353%,Health,12.79,Ohio,Cortland,Youngstown,2,Medlabgear.com,,,,,,,,
,26,Pendo,409,8.901%,Software,43.12,North Carolina,Raleigh,Raleigh,2,pendo.io,,,,,,,,
,27,DefinedCrowd Corporation,193,8.550%,IT Management,21.35,Washington,Seattle,-,1,definedcrowd.com,,,,,,,,
,28,Algo,60,8.093%,Software,9.01,Michigan,Troy,Detroit,1,algo.com,,,,,,,,
,29,LeaseQuery,148,8.080%,Software,24.64,Georgia,Atlanta,Atlanta,1,leasequery.com,,,,,,,,
,30,Ocrolus,82,7.919%,Software,8.49,New York,New York,New York,1,Ocrolus.com,,,,,,,,
,31,Goods & Services,33,7.653%,Advertising & Marketing,10.07,Georgia,Atlanta,Atlanta,1,goods.services,,,,,,,,
,32,Hemp Depot,259,7.558%,Retail,15.37,Colorado,Colorado Springs,-,1,arteza.com,,,,,,,,
,32,Arteza,200,7.551%,Consumer Products & Services,58.34,Florida,North Miami,Miami,1,hempdepotco.com,,,,,,,,
,33,Shield AI,121,7.425%,Government Services,16.84,California,San Diego,San Diego,1,shield.ai,,,,,,,,
,34,Allied Trust Insurance Company,21,7.351%,Insurance,66.79,Florida,Tampa,Tampa,1,alliedtrustins.com,,,,,,,,
,35,LeadCrunch,50,7.249%,Advertising & Marketing,11.68,California,San Diego,San Diego,1,leadcrunch.com,,,,,,,,
,36,Freestar,46,7.239%,Advertising & Marketing,56.18,Arizona,Phoenix,Phoenix,2,freestar.com,,,,,,,,
,37,Upstream Life Insurance Company,10,7.206%,Insurance,36.83,Mississippi,Oxford,-,1,upstreamlife.us,,,,,,,,
,38,Consumable,6,7.174%,Advertising & Marketing,28.15,Wyoming,Jackson,-,1,Consumable.com,,,,,,,,
,39,Cano Health,"1,352",7.162%,Health,429.62,Florida,Miami,Miami,2,canohealth.com,,,,,,,,
,40,ZeroBounce,32,7.054%,Software,10.39,Florida,Boca Raton,Miami,2,zerobounce.net,,,,,,,,
,41,IntelyCare,86,7.047%,Health,38.88,Massachusetts,Quincy,Boston,1,intelycare.com,,,,,,,,
,42,VILLAWAY,20,6.936%,Travel & Hospitality,8.55,California,Los Angeles,Los Angeles,3,villaway.com,,,,,,,,
,43,ND2A Group,10,6.595%,Media,6.83,Missouri,Clayton,St. Louis,1,nd2a.com,,,,,,,,
,44,Cage Point,20,6.468%,Advertising & Marketing,7.69,Florida,Ft Lauderdale,Miami,1,cagepoint.com,,,,,,,,
,45,Noom,"1,653",6.355%,Health,234.83,New York,New York,New York,2,noom.com,,,,,,,,
,46,Yieldstreet,82,6.104%,Financial Services,62.18,New York,New York,New York,2,yieldstreet.com,,,,,,,,
,47,KUUBIX ENERGY,110,5.899%,Energy,22.83,California,Visalia,Visalia,1,Kuubixenergy.com,,,,,,,,
,48,EcoSystems,38,5.891%,Environmental Services,9.24,Florida,Miami,Miami,2,ecosystems.com,,,,,,,,
,49,Besomebody,14,5.854%,Media,7.90,Ohio,Cincinnati,Cincinnati,1,besomebody.com,,,,,,,,
,50,360ia,75,5.826%,Software,13.68,Louisiana,Lafayette,-,2,360ia.com,,,,,,,,
,51,Grove Collaborative,"1,020",5.818%,Consumer Products & Services,231.61,California,San Francisco,San Francisco,3,grove.co,,,,,,,,
,52,Allata,100,5.753%,IT System Development,21.54,Texas,Dallas,Dallas,2,www.allata.com,,,,,,,,
,53,POP Fit Clothing,31,5.709%,Retail,13.51,Nevada,Las Vegas,Las Vegas,1,popfitclothing.com,,,,,,,,
,54,Shady Rays,28,5.683%,Consumer Products & Services,25.98,Kentucky,Simpsonville,Louisville,1,shadyrays.com,,,,,,,,
,55,FASTer Way to Fat Loss,25,5.587%,Health,34.43,Florida,Largo,Tampa,1,fasterwaytofatloss.com,,,,,,,,
,56,Esquire Media,15,5.485%,Advertising & Marketing,5.64,North Carolina,Durham,Durham-Chapel Hill,1,esquireadvertising.com,,,,,,,,
,57,GoProto,72,5.366%,Manufacturing,13.16,California,San Diego,San Diego,1,GoProto.com,,,,,,,,
,58,Outschool,22,5.235%,Education,5.70,California,San Francisco,San Francisco,1,outschool.com,,,,,,,,
,59,Amply Media,54,5.136%,Media,68.77,Missouri,Kansas City,Kansas City,1,amplymedia.com,,,,,,,,
,60,Quality Innovation,425,5.076%,Government Services,11.44,Texas,Austin,Austin,1,teamqi2.com,,,,,,,,
,61,Rented,18,5.030%,Travel & Hospitality,9.73,Georgia,Atlanta,Atlanta,2,www.rented.com,,,,,,,,
,62,ChomChom Roller,1,5.025%,Consumer Products & Services,5.37,Washington,Bellevue,Seattle,1,pethairgone.com,,,,,,,,
,63,Outer Aisle,91,5.006%,Food & Beverage,11.23,California,Ventura,Oxnard,1,outeraislegourmet.com,,,,,,,,
,64,CXFormula,10,4.980%,Advertising & Marketing,8.94,New Jersey,Mahwah,New York,1,cxformula.com,,,,,,,,
,65,Constellation Agency,57,4.866%,Advertising & Marketing,18.65,New York,New York,New York,1,constellationagency.com,,,,,,,,
,66,NCM GROUP,22,4.830%,Consumer Products & Services,178.90,Florida,Miami,Miami,1,ncmwireless.com,,,,,,,,
,67,meShare,102,4.799%,Software,9.07,California,Milpitas,San Jose,1,meshare.com,,,,,,,,
,68,Soundstripe,55,4.724%,Media,5.52,Tennessee,Nashville,Nashville,1,soundstripe.com,,,,,,,,
,69,Mugsy Jeans,10,4.699%,Retail,5.69,Illinois,Chicago,Chicago,1,mugsy.com,,,,,,,,
,70,NationsBenefits,94,4.677%,Health,9.89,Florida,Plantation,Miami,1,nationsbenefits.com,,,,,,,,
,71,City Ventures,610,4.630%,Real Estate,475.01,Nebraska,Omaha,Omaha,3,city-ventures.com,,,,,,,,
,72,TrueChoicePack,10,4.619%,Consumer Products & Services,10.30,Ohio,Mason,Cincinnati,2,truechoicepack.com,,,,,,,,
,73,Würk,86,4.580%,Software,4.79,Colorado,Denver,Denver,1,enjoywurk.com,,,,,,,,
,74,Taxfyle,44,4.544%,Financial Services,4.86,Florida,Coconut Grove,Miami,1,taxfyle.com,,,,,,,,
,75,Sassy Jones,18,4.516%,Retail,4.76,Virginia,Richmond,Richmond,1,ShopSassyJones.com,,,,,,,,
,76,Bella All Natural Inc,10,4.466%,Consumer Products & Services,7.77,California,Fresno,-,1,Bellaallnatural.com,,,,,,,,
,77,StayMarquis,6,4.360%,Travel & Hospitality,6.56,New York,New York,New York,1,staymarquis.com,,,,,,,,
,78,Propellant Media,14,4.310%,Advertising & Marketing,4.46,Georgia,Atlanta,Atlanta,1,propellant.media,,,,,,,,
,79,Koia,32,4.273%,Food & Beverage,14.51,California,Encinitas,San Diego,2,drinkkoia.com,,,,,,,,
,80,REAL Advisors,37,4.259%,Media,7.34,Florida,Jacksonville,Jacksonville,2,realadvisors.com,,,,,,,,
,81,Catalyst Experiential,17,4.243%,Real Estate,5.75,Pennsylvania,Newtown Square,Philadelphia,2,Catalystex.com,,,,,,,,
,82,Microderm GLO,8,4.192%,Retail,4.44,Illinois,Elmhurst,Chicago,1,MicrodermGLO.com,,,,,,,,
,83,Equity & Help,24,3.920%,Real Estate,4.07,Florida,Clearwater,Tampa,2,equityandhelp.com,,,,,,,,
,84,Stadiumred Group,80,3.919%,Advertising & Marketing,20.79,New York,New York,New York,2,stadiumred.com,,,,,,,,
,85,Jules & James Boutique,40,3.914%,Retail,9.21,Georgia,Carrollton,Atlanta,1,julesandjamesboutique.commentsold.com,,,,,,,,
,86,ICU Technologies,6,3.783%,Government Services,5.14,California,Roseville,Sacramento,1,icu-techinc.com,,,,,,,,
,87,Perch Partners,18,3.725%,Advertising & Marketing,3.90,Washington,Seattle,Seattle,1,perchpartners.com,,,,,,,,
,88,Del Mar Vacations,21,3.705%,Travel & Hospitality,8.08,Massachusetts,Orleans,-,1,thisisdelmar.com,,,,,,,,
,89,Arete Acquisitions,24,3.699%,Energy,7.49,Oklahoma,Norman,Oklahoma City,1,areteacq.com,,,,,,,,
,90,OneSignal,42,3.696%,Software,7.22,California,San Mateo,San Francisco,1,onesignal.com,,,,,,,,
,91,Detailing Connect,4,3.693%,Retail,4.19,New York,Middletown,Poughkeepsie,1,Detailingconnect.com,,,,,,,,
,92,Faith Bridge,4,3.663%,Consumer Products & Services,6.14,New York,Bayville,New York,1,christianplanner.com,,,,,,,,
,93,Gravy Analytics,58,3.624%,Software,11.21,Virginia,Sterling,Washington,1,gravyanalytics.com,,,,,,,,
,94,Thunderbolt Software,89,3.608%,Engineering,5.66,New Jersey,Egg Harbor Township,Atlantic City,1,tboltsoftware.com,,,,,,,,
,95,Infinicept,44,3.607%,Software,3.89,Colorado,Denver,Denver,1,infinicept.com,,,,,,,,
,96,BlueDot Cares,192,3.569%,Health,4.22,North Carolina,Charlotte,Charlotte,1,bluedotcares.com,,,,,,,,
,97,Deserve,65,3.550%,Financial Services,5.15,California,Menlo Park,San Francisco,1,deservecards.com,,,,,,,,
,98,Sunday Cool,57,3.509%,Consumer Products & Services,6.47,Florida,Tavares,Orlando,1,sundaycool.com,,,,,,,,
,99,springbig,55,3.508%,Advertising & Marketing,5.81,Florida,Boca Raton,Miami,1,springbig.com,,,,,,,,
,100,Go Solar Power,51,3.473%,Energy,14.58,Florida,Boca Raton,Miami,1,gosolarpower.com,,,,,,,,
,101,Supernova Companies,36,3.471%,Software,9.38,Illinois,Chicago,Chicago,1,supernovacompanies.com,,,,,,,,
,102,ATLAS Space Operations,22,3.446%,Software,3.83,Michigan,Traverse City,-,1,atlasground.com,,,,,,,,
,103,Beachly,15,3.367%,Retail,4.60,California,Oceanside,San Diego,1,beachly.com,,,,,,,,
,104,Thread Wallets,14,3.363%,Consumer Products & Services,8.06,Utah,Provo,Provo,1,threadwallets.com,,,,,,,,
,105,Yedi Houseware Appliances,12,3.329%,Consumer Products & Services,7.55,California,Los Angeles,Los Angeles,1,yedihousewareappliances.com,,,,,,,,
,106,adtechnacity,12,3.314%,Advertising & Marketing,8.27,Georgia,Atlanta,Atlanta,1,adtechnacity.com,,,,,,,,
,107,Global Air Logistics and Training,28,3.311%,Engineering,9.94,California,Del Mar,San Diego,1,galt.aero,,,,,,,,
,108,Cedar Grove Group,5,3.268%,Logistics & Transportation,5.99,Florida,Tampa,Tampa,1,cedargrove.co,,,,,,,,
,109,Growlink,12,3.264%,Business Products & Services,3.75,Colorado,Denver,Denver,1,growlink.com,,,,,,,,
,110,Redline Steel,52,3.216%,Manufacturing,9.34,Alabama,Tanner,Huntsville,1,RedlineSteel.com,,,,,,,,
,111,Pax8,386,3.208%,Software,136.20,Colorado,Greenwood Village,Denver,3,pax8.com,,,,,,,,
,112,PeopleGrove,60,3.204%,Education,3.83,California,San Francisco,San Francisco,1,peoplegrove.com,,,,,,,,
,113,Sprinly,50,3.191%,Food & Beverage,3.33,Ohio,Cleveland,Cleveland,1,sprinly.com,,,,,,,,
,114,PNW Components,11,3.167%,Retail,3.30,Washington,Seattle,Seattle,1,pnwcomponents.com,,,,,,,,
,115,Embroker,110,3.161%,Insurance,4.80,California,San Francisco,San Francisco,1,embroker.com,,,,,,,,
,116,Fetch Rewards,113,3.161%,Consumer Products & Services,20.12,Wisconsin,Madison,Madison,2,fetchrewards.com,,,,,,,,
,117,Effectus Partners,11,3.139%,Business Products & Services,3.46,Florida,Miami,Miami,1,effectuspartners.com,,,,,,,,
,118,Social Catfish,10,3.120%,Software,3.57,California,Murrieta,Inland Empire,1,socialcatfish.com,,,,,,,,
,119,Boxzooka Fulfillment & Global Ecommerce,92,3.097%,Logistics & Transportation,9.21,New Jersey,Secaucus,New York,1,Boxzooka.com,,,,,,,,
,120,Advantic,30,3.092%,Construction,8.98,Ohio,Miamisburg,Dayton,1,advanticllc.com,,,,,,,,
,121,ESC Premier Inc,574,3.054%,Human Resources,23.26,New York,Amherst,Buffalo,9,myesc.com,,,,,,,,
,122,Four Twelve Roofing,50,3.047%,Construction,3.33,Maryland,Baltimore,Baltimore,1,fourtwelveroofing.com,,,,,,,,
,123,Ripple,435,3.039%,Financial Services,548.00,California,San Francisco,Atlanta,1,ripple.com,,,,,,,,
,124,Quantum Metric,124,2.946%,Software,14.56,Colorado,Colorado Springs,-,1,quantummetric.com,,,,,,,,
,125,AURA Technologies,20,2.933%,Government Services,4.02,North Carolina,Raleigh,Raleigh,1,aura.company,,,,,,,,
,126,Techsmart Global,55,2.930%,IT Management,6.48,New Jersey,Plainsboro,New York,1,www.techsmartglobal.com,,,,,,,,
,127,mPower,31,2.922%,Government Services,3.46,Maryland,North Bethesda,Washington,1,mpower-inc.com,,,,,,,,
,128,Ad Hoc ResearchLLC,65,2.885%,Government Services,8.46,Maryland,Havre De Grace,Baltimore,1,ad-hocresearch.com,,,,,,,,
,129,Lunya,38,2.876%,Retail,24.54,California,Santa Monica,Los Angeles,1,lunya.co,,,,,,,,
,130,Kinect Solar,12,2.812%,Energy,24.93,Texas,Austin,Austin,2,Kinectsolar.com,,,,,,,,
,131,Trustech,6,2.812%,Human Resources,3.03,Colorado,Denver,Denver,1,trustechinc.com,,,,,,,,
,132,Henson Group,180,2.809%,Software,26.85,New York,New York,New York,2,HensonGroup.com,,,,,,,,
,133,Brickell Men's Products,44,2.775%,Health,17.93,Maine,Portland,Portland,2,brickellmensproducts.com,,,,,,,,
,134,YourSix,19,2.739%,Security,3.65,Minnesota,Roseville,Minneapolis,1,yoursix.com,,,,,,,,
,135,Asset Discovery Corporation,37,2.718%,Financial Services,3.20,Minnesota,Brooklyn Center,Minneapolis,1,assetdiscovery.net,,,,,,,,
,136,Bluemark,22,2.697%,Business Products & Services,23.50,California,Valencia,Los Angeles,1,bluemark.com,,,,,,,,
,137,Temprano Techvestors,15,2.661%,Software,10.92,North Carolina,Newton,-,1,corporatearmor.com,,,,,,,,
,138,Concursoft,88,2.659%,IT Management,6.89,California,Fremont,San Francisco,1,concursoft.com,,,,,,,,
,139,ALLY LOGISTICS,45,2.658%,Logistics & Transportation,30.22,Michigan,Grand Rapids,Grand Rapids,2,allylogistics.com,,,,,,,,
,140,Clear Ridge Defense,33,2.650%,Government Services,5.63,Maryland,Baltimore,Baltimore,1,clridge.com,,,,,,,,
,141,PRQ Exteriors,7,2.631%,Construction,4.44,Colorado,Golden,Denver,1,prqexteriors.com,,,,,,,,
,142,FreightWise,66,2.629%,Logistics & Transportation,63.52,Tennessee,Brentwood,Nashville,2,freightwisellc.com,,,,,,,,
,143,Hyperion Partners,85,2.620%,Telecommunications,31.81,Nevada,Las Vegas,Las Vegas,3,hyperionpartners.net,,,,,,,,
,144,Golden Eye Media,15,2.593%,Retail,2.73,California,Carlsbad,San Diego,1,lotustrolleybag.com,,,,,,,,
,145,Glow Global Events,8,2.586%,Business Products & Services,3.40,New York,New York,New York,1,glowglobalevents.com,,,,,,,,
,146,Broadleaf,290,2.583%,Government Services,30.39,Virginia,Manassas,Washington,3,broadleaf-inc.com,,,,,,,,
,147,Advance LED Solution,10,2.577%,Consumer Products & Services,3.36,Texas,Houston,Houston,1,advanceLEDsolution.com,,,,,,,,
,148,Handwrytten,24,2.573%,Advertising & Marketing,2.89,Arizona,Phoenix,Phoenix,1,handwrytten.com,,,,,,,,
,149,Alivi,148,2.564%,Health,30.75,Florida,Doral,Miami,2,alivi.com,,,,,,,,
,150,SNA International,195,2.544%,Government Services,34.06,Virginia,Alexandria,Washington,2,sna-intl.com,,,,,,,,
,151,Chestnut Hill Technologies,85,2.542%,IT System Development,11.36,Florida,Ft Lauderdale,Miami,1,chestnuthilltechnologies.com,,,,,,,,
,152,Remesh,89,2.537%,Business Products & Services,6.35,New York,New York,New York,1,remesh.ai,,,,,,,,
,153,DASH TECHNOLOGIES,40,2.528%,Software,3.65,Ohio,Columbus,Columbus,1,dashtechinc.com,,,,,,,,
,154,AdPushup,30,2.518%,Advertising & Marketing,9.95,Delaware,Wilmington,Philadelphia,1,adpushup.com,,,,,,,,
,155,Lateetud,16,2.504%,IT System Development,4.28,Virginia,Ashburn,Washington,1,lateetud.com,,,,,,,,
,156,Highway 3,7,2.475%,Retail,3.71,Kansas,Fort Scott,-,1,shophighway3.com,,,,,,,,
,157,Forcivity,16,2.465%,Software,2.62,New Hampshire,Manchester,Manchester,1,forcivity.com,,,,,,,,
,158,Organic Stride,25,2.455%,Consumer Products & Services,18.68,Florida,St. Petersburg,Tampa,1,havasunutrition.com,,,,,,,,
,159,X Social Media,17,2.440%,Advertising & Marketing,52.25,Florida,Winter Garden,Orlando,1,xsocialmedia.com,,,,,,,,
,160,Spinnaker Consulting Group,39,2.420%,Business Products & Services,12.19,Virginia,Richmond,Richmond,2,spinnakerconsultinggroup.com,,,,,,,,
,161,BHRS Companies,13,2.415%,Real Estate,5.66,Florida,Jacksonville,Jacksonville,1,bhrscompanies.com,,,,,,,,
,162,GovernmentOfficeFurniture.com,5,2.405%,Government Services,2.54,New York,New York,New York,3,governmentofficefurniture.com,,,,,,,,
,163,Essnova Solutions,28,2.379%,Government Services,7.39,Alabama,Birmingham,Birmingham,1,essnova.com,,,,,,,,
,164,The Boutique Hub,15,2.373%,Retail,2.74,Wisconsin,Onalaska,La Crosse,1,theboutiquehub.com,,,,,,,,
,165,FarmLogix,18,2.363%,Logistics & Transportation,2.61,Illinois,Chicago,Chicago,1,farmlogix.net,,,,,,,,
